word,sentence1,sentence2,Class,string,same,ambiguity_type,disambiguating_word1,disambiguating_word2,version,mean_relatedness,median_relatedness,diff,count,sd_relatedness,se_relatedness,v1,v2,dominance_sentence2,sd_dominance_sentence2
bail,He bailed out the prisoner.,He bailed out the defendant.,V,bailed,TRUE,Homonymy,prisoner,defendant,M1_a_M1_b,3.083333333,4,0.916666667,12,1.378954369,0.3980698379999999,M1_a,M1_b,,
bail,He bailed out the water.,He bailed out the liquid.,V,bailed,TRUE,Homonymy,water,liquid,M2_a_M2_b,3.083333333,3.5,0.416666667,12,1.083624669,0.312815497,M2_a,M2_b,,
band,It was a gold band.,It was a jazz band.,N,band,FALSE,Homonymy,gold,jazz,M1_a_M2_a,0.2,0,0.2,10,0.421637021,0.133333333,M1_a,M2_a,0.8,1.373213125
band,It was a gold band.,It was a country band.,N,band,FALSE,Homonymy,gold,country,M1_a_M2_b,0.384615385,0,0.384615385,13,0.5063696839999999,0.1404416809999999,M1_a,M2_b,0.7619047619047621,1.4458479140200702
band,It was a rubber band.,It was a jazz band.,N,band,FALSE,Homonymy,rubber,jazz,M1_b_M2_a,0.333333333,0,0.333333333,12,0.6513389470000001,0.188025358,M1_b,M2_a,0.272727273,1.453462801
band,It was a rubber band.,It was a country band.,N,band,FALSE,Homonymy,rubber,country,M1_b_M2_b,0.1,0,0.1,10,0.316227766,0.1,M1_b,M2_b,-0.5,1.538967528
band,It was a gold band.,It was a rubber band.,N,band,TRUE,Homonymy,gold,rubber,M1_a_M1_b,2.526315789,3,0.473684211,19,1.218761715,0.279603113,M1_a,M1_b,,
band,It was a jazz band.,It was a country band.,N,band,TRUE,Homonymy,jazz,country,M2_a_M2_b,4,4,0,13,0,0,M2_a,M2_b,,
bank,He banked the plane.,He banked the money.,V,banked,FALSE,Homonymy,plane,money,M1_a_M2_a,1,1,0,17,1.060660172,0.257247878,M1_a,M2_a,0.25,1.5517392618742702
bank,He banked the plane.,He banked the cash.,V,banked,FALSE,Homonymy,plane,cash,M1_a_M2_b,0.7333333329999999,1,0.2666666669999999,15,0.703731551,0.181702705,M1_a,M2_b,1.1578947368421102,1.213953957
bank,He banked the helicopter.,He banked the money.,V,banked,FALSE,Homonymy,helicopter,money,M1_b_M2_a,0.6,1,0.4,10,0.516397779,0.163299316,M1_b,M2_a,1.214285714,1.050902281
bank,He banked the helicopter.,He banked the cash.,V,banked,FALSE,Homonymy,helicopter,cash,M1_b_M2_b,1.375,1.5,0.125,8,1.302470181,0.460492749,M1_b,M2_b,0.48,1.475353065
bank,He banked the plane.,He banked the helicopter.,V,banked,TRUE,Homonymy,plane,helicopter,M1_a_M1_b,3.333333333,3.5,0.166666667,12,0.7784989440000001,0.224733287,M1_a,M1_b,,
bank,He banked the money.,He banked the cash.,V,banked,TRUE,Homonymy,money,cash,M2_a_M2_b,3.5333333330000003,4,0.466666667,15,0.8338093879999999,0.215288658,M2_a,M2_b,,
barrier,There was a police barrier.,There was a language barrier.,N,barrier,FALSE,Polysemy,police,language,M1_a_M2_a,1.333333333,1,0.333333333,12,1.154700538,0.333333333,M1_a,M2_a,-0.047619048,1.4992061391346598
barrier,There was a police barrier.,There was a religious barrier.,N,barrier,FALSE,Polysemy,police,religious,M1_a_M2_b,1.266666667,2,0.7333333329999999,15,1.032795559,0.2666666669999999,M1_a,M2_b,-0.823529412,0.9510056596602792
barrier,There was a concrete barrier.,There was a language barrier.,N,barrier,FALSE,Polysemy,concrete,language,M1_b_M2_a,1.692307692,2,0.307692308,13,1.250640861,0.346865366,M1_b,M2_a,0.181818182,1.367526918
barrier,There was a concrete barrier.,There was a religious barrier.,N,barrier,FALSE,Polysemy,concrete,religious,M1_b_M2_b,1.727272727,2,0.272727273,11,1.348399725,0.4065578139999999,M1_b,M2_b,-1,1.328422328
barrier,There was a police barrier.,There was a concrete barrier.,N,barrier,TRUE,Polysemy,police,concrete,M1_a_M1_b,2.923076923,3,0.076923077,13,1.320450584,0.366227099,M1_a,M1_b,,
barrier,There was a language barrier.,There was a religious barrier.,N,barrier,TRUE,Polysemy,language,religious,M2_a_M2_b,3.538461538,4,0.461538462,13,0.7762500259999999,0.215293021,M2_a,M2_b,,
bat,He saw a furry bat.,He saw a wooden bat.,N,bat,FALSE,Homonymy,furry,wooden,M1_a_M2_a,0,0,0,10,0,0,M1_a,M2_a,0.52,1.4177446878757802
bat,He saw a furry bat.,He saw a baseball bat.,N,bat,FALSE,Homonymy,furry,baseball,M1_a_M2_b,0.5,0,0.5,14,0.8548504140000001,0.228468383,M1_a,M2_b,1.055555556,0.872604096
bat,He saw a fruit bat.,He saw a wooden bat.,N,bat,FALSE,Homonymy,fruit,wooden,M1_b_M2_a,0.2,0,0.2,10,0.632455532,0.2,M1_b,M2_a,1.052631579,1.025978352
bat,He saw a fruit bat.,He saw a baseball bat.,N,bat,FALSE,Homonymy,fruit,baseball,M1_b_M2_b,0.083333333,0,0.083333333,12,0.288675135,0.083333333,M1_b,M2_b,0.8125,1.327591805
bat,He saw a furry bat.,He saw a fruit bat.,N,bat,TRUE,Homonymy,furry,fruit,M1_a_M1_b,3.55,4,0.45,20,0.998683344,0.2233123839999999,M1_a,M1_b,,
bat,He saw a wooden bat.,He saw a baseball bat.,N,bat,TRUE,Homonymy,wooden,baseball,M2_a_M2_b,3.545454545,4,0.454545455,11,1.213559752,0.3659020329999999,M2_a,M2_b,,
beam,He saw the laser beam.,He saw the wood beam.,N,beam,FALSE,Polysemy,laser,wood,M1_a_M2_a,1.142857143,1,0.142857143,14,0.949262293,0.2537010189999999,M1_a,M2_a,-0.5625,1.31497782
beam,He saw the laser beam.,He saw the balance beam.,N,beam,FALSE,Polysemy,laser,balance,M1_a_M2_b,0.833333333,1,0.166666667,12,0.937436867,0.270614714,M1_a,M2_b,-0.705882353,1.358524286
beam,He saw the bright beam.,He saw the wood beam.,N,beam,FALSE,Polysemy,bright,wood,M1_b_M2_a,0.5555555560000001,0,0.5555555560000001,9,1.333333333,0.444444444,M1_b,M2_a,-0.5,1.33630621
beam,He saw the bright beam.,He saw the balance beam.,N,beam,FALSE,Polysemy,bright,balance,M1_b_M2_b,0.363636364,0,0.363636364,11,0.674199862,0.2032789069999999,M1_b,M2_b,-0.043478261,1.460954261
beam,He saw the laser beam.,He saw the bright beam.,N,beam,TRUE,Polysemy,laser,bright,M1_a_M1_b,3.545454545,4,0.454545455,11,0.6875516509999999,0.207304623,M1_a,M1_b,,
beam,He saw the wood beam.,He saw the balance beam.,N,beam,TRUE,Polysemy,wood,balance,M2_a_M2_b,2.6,3,0.4,20,1.187655807,0.265567912,M2_a,M2_b,,
block,She had a toy block.,She had a mental block.,N,block,FALSE,Polysemy,toy,mental,M1_a_M2_a,0.538461538,0,0.538461538,13,0.967417922,0.268313456,M1_a,M2_a,-0.6,1.273205652
block,She had a toy block.,She had a writer's block.,N,block,FALSE,Polysemy,toy,writer,M1_a_M2_b,0.133333333,0,0.133333333,15,0.516397779,0.133333333,M1_a,M2_b,-0.8125,1.167261753
block,She had a wooden block.,She had a mental block.,N,block,FALSE,Polysemy,wooden,mental,M1_b_M2_a,1,1,0,13,1.224744871,0.33968311,M1_b,M2_a,-0.5,1.5322617553657498
block,She had a wooden block.,She had a writer's block.,N,block,FALSE,Polysemy,wooden,writer,M1_b_M2_b,0.2,0,0.2,10,0.421637021,0.133333333,M1_b,M2_b,0.277777778,1.487420015
block,She had a toy block.,She had a wooden block.,N,block,TRUE,Polysemy,toy,wooden,M1_a_M1_b,3.8,4,0.2,15,0.414039336,0.1069044969999999,M1_a,M1_b,,
block,She had a mental block.,She had a writer's block.,N,block,TRUE,Polysemy,mental,writer,M2_a_M2_b,3.181818182,3,0.181818182,11,0.981649817,0.295978556,M2_a,M2_b,,
blood,He has coagulated blood.,He has noble blood.,N,blood,FALSE,Polysemy,coagulated,noble,M1_a_M2_a,1.6,2,0.4,15,0.985610761,0.254483604,M1_a,M2_a,-0.789473684,1.43677677
blood,He has coagulated blood.,He has royal blood.,N,blood,FALSE,Polysemy,coagulated,royal,M1_a_M2_b,2.5,2.5,0,8,0.9258201,0.327326835,M1_a,M2_b,-0.6875,1.400892573
blood,He has thin blood.,He has noble blood.,N,blood,FALSE,Polysemy,thin,noble,M1_b_M2_a,2.222222222,2,0.222222222,9,1.6414763,0.547158767,M1_b,M2_a,-0.25,1.510830466
blood,He has thin blood.,He has royal blood.,N,blood,FALSE,Polysemy,thin,royal,M1_b_M2_b,2.214285714,2,0.214285714,14,1.121713759,0.299790612,M1_b,M2_b,-0.210526316,1.4749368110163998
blood,He has coagulated blood.,He has thin blood.,N,blood,TRUE,Polysemy,coagulated,thin,M1_a_M1_b,3.631578947,4,0.3684210529999999,19,0.955133866,0.2191227369999999,M1_a,M1_b,,
blood,He has noble blood.,He has royal blood.,N,blood,TRUE,Polysemy,noble,royal,M2_a_M2_b,3.583333333,4,0.416666667,12,0.792961461,0.228908257,M2_a,M2_b,,
board,It was the ironing board.,It was the executive board.,N,board,FALSE,Polysemy,ironing,executive,M1_a_M2_a,0.066666667,0,0.066666667,15,0.25819889,0.066666667,M1_a,M2_a,-0.428571429,1.650840612
board,It was the ironing board.,It was the school board.,N,board,FALSE,Polysemy,ironing,school,M1_a_M2_b,0.416666667,0,0.416666667,12,0.99620492,0.2875795889999999,M1_a,M2_b,0.6111111111111109,1.3779306261410702
board,It was the wooden board.,It was the executive board.,N,board,FALSE,Polysemy,wooden,executive,M1_b_M2_a,0.25,0,0.25,12,0.452267017,0.130558242,M1_b,M2_a,0.19047619,1.4359334113756002
board,It was the wooden board.,It was the school board.,N,board,FALSE,Polysemy,wooden,school,M1_b_M2_b,0.6,0,0.6,15,0.736788398,0.190237946,M1_b,M2_b,-0.88,1.268857754
board,It was the ironing board.,It was the wooden board.,N,board,TRUE,Polysemy,ironing,wooden,M1_a_M1_b,2.625,2.5,0.125,8,1.302470181,0.460492749,M1_a,M1_b,,
board,It was the executive board.,It was the school board.,N,board,TRUE,Polysemy,executive,school,M2_a_M2_b,3.666666667,4,0.333333333,15,0.6172134,0.159363815,M2_a,M2_b,,
book,He had a best-selling book.,He had a heavy book.,N,book,FALSE,Polysemy,best-selling,heavy,M1_a_M2_a,3.692307692,4,0.307692308,13,1.109400392,0.307692308,M1_a,M2_a,-1.055555556,1.211329956
book,He had a best-selling book.,He had a leather-bound book.,N,book,FALSE,Polysemy,best-selling,leather-bound,M1_a_M2_b,3.357142857,4,0.642857143,14,1.081817762,0.289127959,M1_a,M2_b,-0.764705882,1.3932610920384698
book,He had a popular book.,He had a heavy book.,N,book,FALSE,Polysemy,popular,heavy,M1_b_M2_a,4,4,0,11,0,0,M1_b,M2_a,-0.315789474,1.4549773415168703
book,He had a popular book.,He had a leather-bound book.,N,book,FALSE,Polysemy,popular,leather-bound,M1_b_M2_b,3.818181818,4,0.181818182,11,0.603022689,0.181818182,M1_b,M2_b,-1.166666667,0.963086825
book,He had a best-selling book.,He had a popular book.,N,book,TRUE,Polysemy,best-selling,popular,M1_a_M1_b,4,4,0,12,0,0,M1_a,M1_b,,
book,He had a heavy book.,He had a leather-bound book.,N,book,TRUE,Polysemy,heavy,leather-bound,M2_a_M2_b,3.75,4,0.25,16,0.6831300509999999,0.170782513,M2_a,M2_b,,
break,He broke the glass.,He broke the law.,V,broke,FALSE,Polysemy,glass,law,M1_a_M2_a,1.733333333,2,0.2666666669999999,15,1.032795559,0.2666666669999999,M1_a,M2_a,-1.105263158,1.196974744
break,He broke the glass.,He broke the promise.,V,broke,FALSE,Polysemy,glass,promise,M1_a_M2_b,2.357142857,3,0.642857143,14,1.008208072,0.269454941,M1_a,M2_b,-1,1.054092553
break,He broke the dish.,He broke the law.,V,broke,FALSE,Polysemy,dish,law,M1_b_M2_a,2.3,2.5,0.2,10,1.33749351,0.422952585,M1_b,M2_a,-0.307692308,1.652503928
break,He broke the dish.,He broke the promise.,V,broke,FALSE,Polysemy,dish,promise,M1_b_M2_b,2.3,3,0.7,10,1.33749351,0.422952585,M1_b,M2_b,-0.222222222,1.308594017
break,He broke the glass.,He broke the dish.,V,broke,TRUE,Polysemy,glass,dish,M1_a_M1_b,4,4,0,15,0,0,M1_a,M1_b,,
break,He broke the law.,He broke the promise.,V,broke,TRUE,Polysemy,law,promise,M2_a_M2_b,3.692307692,4,0.307692308,13,0.480384461,0.133234678,M2_a,M2_b,,
breakfast,They ate a pancake breakfast.,They ate a family breakfast.,N,breakfast,FALSE,Polysemy,pancake,family,M1_a_M2_a,3.785714286,4,0.214285714,14,0.5789342239999999,0.15472668,M1_a,M2_a,0.421052632,1.538967528
breakfast,They ate a pancake breakfast.,They ate a lonely breakfast.,N,breakfast,FALSE,Polysemy,pancake,lonely,M1_a_M2_b,3.941176471,4,0.058823529,17,0.242535625,0.058823529,M1_a,M2_b,-0.260869565,1.483772566
breakfast,They ate a nutritious breakfast.,They ate a family breakfast.,N,breakfast,FALSE,Polysemy,nutritious,family,M1_b_M2_a,3.666666667,4,0.333333333,12,1.154700538,0.333333333,M1_b,M2_a,0.285714286,1.683794772
breakfast,They ate a nutritious breakfast.,They ate a lonely breakfast.,N,breakfast,FALSE,Polysemy,nutritious,lonely,M1_b_M2_b,3.333333333,4,0.666666667,9,1.118033989,0.372677996,M1_b,M2_b,-1.045454545,1.214094714
breakfast,They ate a pancake breakfast.,They ate a nutritious breakfast.,N,breakfast,TRUE,Polysemy,pancake,nutritious,M1_a_M1_b,4,4,0,5,0,0,M1_a,M1_b,,
breakfast,They ate a family breakfast.,They ate a lonely breakfast.,N,breakfast,TRUE,Polysemy,family,lonely,M2_a_M2_b,3.8,4,0.2,20,0.615587011,0.13764944,M2_a,M2_b,,
call,They called the landlord.,They called the loan.,V,called,FALSE,Polysemy,landlord,loan,M1_a_M2_a,1.222222222,1,0.222222222,9,0.833333333,0.277777778,M1_a,M2_a,-1.529411765,0.514495755
call,They called the landlord.,They called the debt.,V,called,FALSE,Polysemy,landlord,debt,M1_a_M2_b,1.3,1,0.3,10,1.418136492,0.448454135,M1_a,M2_b,-1.307692308,1.1094003924504598
call,They called the police.,They called the loan.,V,called,FALSE,Polysemy,police,loan,M1_b_M2_a,1.357142857,1.5,0.142857143,14,1.081817762,0.289127959,M1_b,M2_a,-1.666666667,0.4794633014853839
call,They called the police.,They called the debt.,V,called,FALSE,Polysemy,police,debt,M1_b_M2_b,1,1,0,16,1.032795559,0.25819889,M1_b,M2_b,-1.777777778,0.4277926319464989
call,They called the landlord.,They called the police.,V,called,TRUE,Polysemy,landlord,police,M1_a_M1_b,3.866666667,4,0.133333333,15,0.351865775,0.090851353,M1_a,M1_b,,
call,They called the loan.,They called the debt.,V,called,TRUE,Polysemy,loan,debt,M2_a_M2_b,3.076923077,3,0.076923077,13,1.037749043,0.287819799,M2_a,M2_b,,
cape,It was a red cape.,It was a rocky cape.,N,cape,FALSE,Homonymy,red,rocky,M1_a_M2_a,0.090909091,0,0.090909091,11,0.301511345,0.090909091,M1_a,M2_a,-1.6,0.707106781
cape,It was a red cape.,It was an island cape.,N,cape,FALSE,Homonymy,red,island,M1_a_M2_b,0.181818182,0,0.181818182,11,0.404519917,0.121967344,M1_a,M2_b,-1.111111111,1.367216532
cape,It was a flowing cape.,It was a rocky cape.,N,cape,FALSE,Homonymy,flowing,rocky,M1_b_M2_a,1,1,0,11,1.264911064,0.381385036,M1_b,M2_a,-1.428571429,0.746420027
cape,It was a flowing cape.,It was an island cape.,N,cape,FALSE,Homonymy,flowing,island,M1_b_M2_b,0.428571429,0,0.428571429,14,0.937614462,0.250588006,M1_b,M2_b,-1.571428571,0.513552591
cape,It was a red cape.,It was a flowing cape.,N,cape,TRUE,Homonymy,red,flowing,M1_a_M1_b,3.266666667,4,0.7333333329999999,15,1.222799287,0.315725418,M1_a,M1_b,,
cape,It was a rocky cape.,It was an island cape.,N,cape,TRUE,Homonymy,rocky,island,M2_a_M2_b,2.866666667,3,0.133333333,15,1.245945806,0.3217018239999999,M2_a,M2_b,,
case,It was a beer case.,It was a divorce case.,N,case,FALSE,Homonymy,beer,divorce,M1_a_M2_a,0.166666667,0,0.166666667,18,0.514495755,0.121267813,M1_a,M2_a,0.545454545,1.471224716
case,It was a beer case.,It was a criminal case.,N,case,FALSE,Homonymy,beer,criminal,M1_a_M2_b,0.4,0,0.4,10,0.6992058990000001,0.221108319,M1_a,M2_b,0.454545455,1.405000347
case,It was a display case.,It was a divorce case.,N,case,FALSE,Homonymy,display,divorce,M1_b_M2_a,0.25,0,0.25,12,0.452267017,0.130558242,M1_b,M2_a,0.631578947,1.4609938138050402
case,It was a display case.,It was a criminal case.,N,case,FALSE,Homonymy,display,criminal,M1_b_M2_b,0.363636364,0,0.363636364,11,0.504524979,0.152120005,M1_b,M2_b,-0.133333333,1.4573295865416005
case,It was a beer case.,It was a display case.,N,case,TRUE,Homonymy,beer,display,M1_a_M1_b,1.75,2,0.25,12,1.055289706,0.304635898,M1_a,M1_b,,
case,It was a divorce case.,It was a criminal case.,N,case,TRUE,Homonymy,divorce,criminal,M2_a_M2_b,3.928571429,4,0.071428571,14,0.267261242,0.071428571,M2_a,M2_b,,
cast,She cast a shadow.,She cast a spear.,V,cast,FALSE,Polysemy,shadow,spear,M1_a_M2_a,0.909090909,1,0.090909091,11,1.221027883,0.3681537589999999,M1_a,M2_a,-0.681818182,1.35879371
cast,She cast a shadow.,She cast a stone.,V,cast,FALSE,Polysemy,shadow,stone,M1_a_M2_b,1.142857143,1,0.142857143,14,1.231455852,0.32912042,M1_a,M2_b,-0.826086957,1.402989468
cast,She cast a glow.,She cast a spear.,V,cast,FALSE,Polysemy,glow,spear,M1_b_M2_a,1.4615384619999998,1,0.461538462,13,1.391365314,0.385895306,M1_b,M2_a,-0.611111111,1.3779306261410702
cast,She cast a glow.,She cast a stone.,V,cast,FALSE,Polysemy,glow,stone,M1_b_M2_b,0.941176471,1,0.058823529,17,1.028991511,0.249567099,M1_b,M2_b,-0.266666667,1.4375905768565198
cast,She cast a shadow.,She cast a glow.,V,cast,TRUE,Polysemy,shadow,glow,M1_a_M1_b,3.285714286,4,0.7142857140000001,7,0.951189731,0.359515925,M1_a,M1_b,,
cast,She cast a spear.,She cast a stone.,V,cast,TRUE,Polysemy,spear,stone,M2_a_M2_b,3.2,3,0.2,15,0.941123948,0.242997159,M2_a,M2_b,,
cause,It was a worthy cause.,It was a main cause.,N,cause,FALSE,Polysemy,worthy,main,M1_a_M2_a,2.272727273,2,0.272727273,11,1.103712743,0.332781913,M1_a,M2_a,-0.238095238,1.48002574
cause,It was a worthy cause.,It was a primary cause.,N,cause,FALSE,Polysemy,worthy,primary,M1_a_M2_b,2.352941176,2,0.352941176,17,1.271867548,0.308473191,M1_a,M2_b,0.235294118,1.5218989685876798
cause,It was a political cause.,It was a main cause.,N,cause,FALSE,Polysemy,political,main,M1_b_M2_a,2.5,2.5,0,12,1.087114613,0.313822957,M1_b,M2_a,-0.263157895,1.284181766
cause,It was a political cause.,It was a primary cause.,N,cause,FALSE,Polysemy,political,primary,M1_b_M2_b,2.071428571,2,0.071428571,14,1.384768001,0.370094816,M1_b,M2_b,0.19047619,1.4359334113756002
cause,It was a worthy cause.,It was a political cause.,N,cause,TRUE,Polysemy,worthy,political,M1_a_M1_b,3.461538462,4,0.538461538,13,0.877058019,0.243252128,M1_a,M1_b,,
cause,It was a main cause.,It was a primary cause.,N,cause,TRUE,Polysemy,main,primary,M2_a_M2_b,4,4,0,10,0,0,M2_a,M2_b,,
cell,It was a skin cell.,It was a prison cell.,N,cell,FALSE,Polysemy,skin,prison,M1_a_M2_a,0.2,0,0.2,10,0.421637021,0.133333333,M1_a,M2_a,-0.1,1.618966532
cell,It was a skin cell.,It was a jail cell.,N,cell,FALSE,Polysemy,skin,jail,M1_a_M2_b,0.428571429,0,0.428571429,14,0.937614462,0.250588006,M1_a,M2_b,0.181818182,1.258735709
cell,It was a brain cell.,It was a prison cell.,N,cell,FALSE,Polysemy,brain,prison,M1_b_M2_a,0.272727273,0,0.272727273,11,0.646669791,0.194978278,M1_b,M2_a,-0.272727273,1.453462801
cell,It was a brain cell.,It was a jail cell.,N,cell,FALSE,Polysemy,brain,jail,M1_b_M2_b,0.133333333,0,0.133333333,15,0.351865775,0.090851353,M1_b,M2_b,-0.357142857,1.4468609447374698
cell,It was a skin cell.,It was a brain cell.,N,cell,TRUE,Polysemy,skin,brain,M1_a_M1_b,3.947368421,4,0.052631579,19,0.2294157339999999,0.052631579,M1_a,M1_b,,
cell,It was a prison cell.,It was a jail cell.,N,cell,TRUE,Polysemy,prison,jail,M2_a_M2_b,4,4,0,8,0,0,M2_a,M2_b,,
charm,She had a devilish charm.,She had a gold charm.,N,charm,FALSE,Polysemy,devilish,gold,M1_a_M2_a,1,1,0,10,0.942809042,0.298142397,M1_a,M2_a,-0.833333333,1.193416283
charm,She had a devilish charm.,She had a good-luck charm.,N,charm,FALSE,Polysemy,devilish,good-luck,M1_a_M2_b,0.727272727,0,0.727272727,11,0.904534034,0.272727273,M1_a,M2_b,0.84,1.247664485
charm,She had a natural charm.,She had a gold charm.,N,charm,FALSE,Polysemy,natural,gold,M1_b_M2_a,0.588235294,0,0.588235294,17,0.71228712,0.172755002,M1_b,M2_a,-0.857142857,1.014185106
charm,She had a natural charm.,She had a good-luck charm.,N,charm,FALSE,Polysemy,natural,good-luck,M1_b_M2_b,1.285714286,1,0.285714286,14,1.38278267,0.369564214,M1_b,M2_b,-0.1,1.5183093090325002
charm,She had a devilish charm.,She had a natural charm.,N,charm,TRUE,Polysemy,devilish,natural,M1_a_M1_b,3.846153846,4,0.153846154,13,0.554700196,0.153846154,M1_a,M1_b,,
charm,She had a gold charm.,She had a good-luck charm.,N,charm,TRUE,Polysemy,gold,good-luck,M2_a_M2_b,3.166666667,3.5,0.333333333,12,1.114640858,0.3217691,M2_a,M2_b,,
check,He checked the engine.,He checked the alibi.,V,checked,FALSE,Polysemy,engine,alibi,M1_a_M2_a,3.1,3.5,0.4,10,1.100504935,0.348010217,M1_a,M2_a,-0.846153846,1.519109051
check,He checked the engine.,He checked the facts.,V,checked,FALSE,Polysemy,engine,facts,M1_a_M2_b,2.857142857,3,0.142857143,14,1.292412345,0.345411728,M1_a,M2_b,-0.095238095,1.4458479140200702
check,He checked the oven.,He checked the alibi.,V,checked,FALSE,Polysemy,oven,alibi,M1_b_M2_a,2.684210526,3,0.3157894739999999,19,1.293257368,0.296693588,M1_b,M2_a,-0.85,1.308876577
check,He checked the oven.,He checked the facts.,V,checked,FALSE,Polysemy,oven,facts,M1_b_M2_b,3.142857143,3,0.142857143,14,0.949262293,0.2537010189999999,M1_b,M2_b,-0.375,1.345281609
check,He checked the engine.,He checked the oven.,V,checked,TRUE,Polysemy,engine,oven,M1_a_M1_b,3.666666667,4,0.333333333,15,0.487950036,0.125988158,M1_a,M1_b,,
